phantom,TR,TE,CNR_WM_GM,noise_std_est,J
0,900,145,1.0569580978671833,0.020127329752206956,-0.09504190213281682
0,900,150,1.066995713342764,0.01997053802736387,-0.08500428665723603
0,900,155,1.0502709954004792,0.020084344250173032,-0.10172900459952094
0,900,160,1.0435075040995823,0.020034404222187042,-0.10849249590041787
0,900,165,1.0066689257525194,0.020105949899676016,-0.1453310742474807
0,900,170,0.9895134969138425,0.02004085542568719,-0.16248650308615764
0,900,175,0.9781544592272281,0.019787969109591512,-0.17384554077277203
0,900,180,0.9820292655654689,0.020012344450273157,-0.16997073443453126
0,900,185,0.9234092163418463,0.020037473758517388,-0.22859078365815388
0,900,190,0.8827202076058341,0.01999031815448061,-0.269279792394166
0,900,195,0.8741947007705754,0.020100535521756332,-0.27780529922942476
0,900,200,0.8682681507052351,0.02003005142327887,-0.283731849294765
0,1000,10,1.0801087206600741,0.019968433677049462,-0.1998912793399259
0,1000,15,0.7802226791239648,0.020020201494469016,-0.4997773208760352
0,1000,20,0.5396557150133614,0.019961517423536503,-0.7403442849866386
0,1000,25,0.27463992475059623,0.020020109149721747,-1.0053600752494039
0,1000,30,0.0637766561973745,0.0199570583422395,-1.2162233438026255
0,1000,35,0.10612903952220148,0.020166678947763562,-1.1738709604777986
0,1000,40,0.28024398895308367,0.019988120506857634,-0.9997560110469164
0,1000,45,0.44399338687727224,0.01995654228941386,-0.8360066131227277
0,1000,50,0.5753103824028017,0.020125839123658514,-0.7046896175971983
0,1000,55,0.6804889882752675,0.020100802184733646,-0.5995110117247325
