TR,TE,CNR_WM_GM,CNR_GM_CSF,CNR_WM_CSF
1100,130,1.61941216966048,4.625005155856653,6.244417325517133
1100,135,1.5999849160929724,4.919395425148915,6.519380341241887
1100,140,1.5779237199764795,5.198126572710163,6.776050292686642
1100,145,1.553574027527204,5.461965552702293,7.015539580229498
1100,150,1.5272512907533065,5.711641906377043,7.238893197130349
1100,155,1.499243226801769,5.947849586745399,7.447092813547168
1100,160,1.469811918857368,6.171248694256795,7.641060613114162
1100,165,1.4391957692452002,6.382467127828173,7.821662897073373
1100,170,1.407611314691513,6.582102155351368,7.989713470042882
1100,175,1.3752549130457825,6.770721907605894,8.145976820651677
1100,180,1.3423043101568033,6.948866799312681,8.291171109469484
1100,185,1.3089200950248854,7.117050880882164,8.425970975907049
1100,190,1.2752470508180611,7.275763124236792,8.551010175054854
1100,195,1.241415408840614,7.4254686459231705,8.666884054763784
1100,200,1.207542012074734,7.566609870572292,8.774151882647027
1200,10,0.17332240428374612,10.309837040314928,10.483159444598675
1200,15,0.11159805815031676,9.211658386893523,9.100060328743206
1200,20,0.3658991481363061,8.168528360662537,7.80262921252623
1200,25,0.5920874240661289,7.177758488489622,6.585671064423493
1200,30,0.7924858092930864,6.236791424912416,5.44430561561933
1200,35,0.9692462674744162,5.343194556943503,4.373948289469087
1200,40,1.1243616343855038,4.494653920772628,3.3702922863871247
1200,45,1.2596766609984211,3.688968415155,2.429291754156579
1200,50,1.3768983191173367,2.924044297015976,1.5471459778986396
1200,55,1.477605417585165,2.1978899455084133,0.7202845279232484
1200,60,1.563257574003836,1.5086108814298782,0.05464669257395777
1200,65,1.6352035840332206,0.8544050295459571,0.7807985544872637
1200,70,1.6946892276376593,0.2335582119727328,1.4611310156649264
1200,75,1.742864549124136,0.3555601386503113,2.0984246877744472
1200,80,1.7807906454505182,0.9145010569163198,2.6952917023668377
1200,85,1.8094459950667356,1.4447399235324925,3.2541859185992283
1200,90,1.8297323574765627,1.947680155026231,3.7774125125027935
1200,95,1.842480271764113,2.424656713502095,4.267136985266208
1200,100,1.8484541805088905,2.8769394452258554,4.725393625734746
1200,105,1.8483572038085858,3.305736256383812,5.154093460192398
1200,110,1.8428355865325097,3.7121961339584564,5.555031720490966
1200,115,1.8324828404337938,4.097412019274244,5.929894859708037
1200,120,1.817843601348832,4.462423541398796,6.280267142747628
1200,125,1.799417220401961,4.808219617234534,6.607636837636495
1200,130,1.7776611069063717,5.135740924802273,6.913402031708646
1200,135,1.7529938395037212,5.445882255901287,7.198876095405007
1200,140,1.7257980610093808,5.739494754028766,7.465292815038146
1200,145,1.6964231714238136,6.017388043154568,7.713811214578382
1200,150,1.6651878326282759,6.280332252674355,7.945520085302631
1200,155,1.6323822974010465,6.529059943604548,8.161442241005595
1200,160,1.598270574565091,6.764267940835597,8.362538515400688
1200,165,1.563092441305478,6.98661907602513,8.549711517330607
1200,170,1.5270653129719611,7.196743845489165,8.723809158461126
1200,175,1.4903859800057144,7.395241987236961,8.885627967242677
1200,180,1.4532322209961521,7.582683981092885,9.035916202089037
1200,185,1.41576430028159,7.759612475656478,9.175376775938068
1200,190,1.3781263579533745,7.926543645668738,9.304670003622112
1200,195,1.340447699604772,8.08396848317885,9.424416182783624
1200,200,1.3028439926810274,8.232354025739939,9.535198018420965
1300,10,0.12236323098901714,10.531036640950521,10.408673409961505
1300,15,0.40273545790592835,9.379961721325985,8.977226263420057
1300,20,0.6521119865025932,8.286620349343663,7.6345083628410695
1300,25,0.87305396863053,7.248192844236106,6.375138875605576
1300,30,1.0679340628878957,6.2619970526332525,5.194062989745357
1300,35,1.23894947992825,5.32548164124726,4.086532161319009
1300,40,1.388134158137866,4.436219716677056,3.0480855585391904
1300,45,1.5173701262353316,3.5919027563787425,2.074532630143411
